kode,nama,program_kode,anggaran,satuan_kerja,satuan_kerja_id
5.03.02.1.02,Mutasi dan Promosi ASN,5.03.02,2276738000,Badan Kepegawaian Daerah,1030
2.16.03.1.01,Pengelolaan Nama Domain yang Telah ditetapkan oleh Pemerintah Pusat dan Sub Domain di Lingkup Pemerintah Daerah Provinsi,2.16.03,1197825920,Dinas Komunikasi dan Informatika,1022
8.01.01.1.02,Administrasi Keuangan Perangkat Daerah,8.01.01,13323762388,Badan Kesatuan Bangsa dan Politik,1035
4.01.01.1.12,Fasilitasi Kerumahtanggaan Sekretariat Daerah,4.01.01,41556980992,Sekretariat Daerah,1001
2.09.01.1.06,Administrasi Umum Perangkat Daerah,2.09.01,4108529827,Dinas Ketahanan Pangan dan Peternakan,1017
2.11.08.1.01,"Penyelenggaraan Pendidikan, Pelatihan, dan Penyuluhan Lingkungan Hidup untuk Lembaga Kemasyarakatan Tingkat Daerah Provinsi",2.11.08,331760000,Dinas Lingkungan Hidup,1034
5.01.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,5.01.01,3381743545,Badan Perencanaan Pembangunan Daerah,1026
1.05.01.1.05,Administrasi Kepegawaian Perangkat Daerah,1.05.01,55600000,Satuan Polisi dan Pamong Praja,1027
2.13.03.1.01,Fasilitasi Kerja Sama antar desa yang Menjadi Kewenangan Provinsi,2.13.03,513312000,Dinas Pemberdayaan Masyarakat dan Desa,1042
5.07.02.1.01,Pelaksanaan Pelayanan Penghubung,5.07.02,887337000,Badan Penghubung,1043
2.15.01.1.02,Administrasi Keuangan Perangkat Daerah,2.15.01,52989762812,Dinas Perhubungan,1008
1.05.03.1.01,Pelayanan Informasi Rawan Bencana Provinsi,1.05.03,665356960,Badan Penanggulangan Bencana Daerah,1080
3.27.04.1.01,"Penjaminan Kesehatan Hewan, Penutupan dan Pembukaan Daerah Wabah Penyakit Hewan Menular Lintas Daerah Kabupaten/Kota dalam 1 (satu) Daerah Provinsi",3.27.04,4822870100,Dinas Ketahanan Pangan dan Peternakan,1017
3.27.02.1.05,Pengendalian dan Pengawasan Penyediaan dan Peredaran Benih/Bibit Ternak dan Tanaman Pakan Ternak serta Pakan Kewenangan Provinsi,3.27.02,281179640,Dinas Ketahanan Pangan dan Peternakan,1017
2.22.05.1.02,Pengelolaan Cagar Budaya Peringkat Provinsi,2.22.05,150000000,Dinas Pariwisata dan Kebudayaan,1009
1.03.02.1.02,Pengembangan dan Pengelolaan Sistem Irigasi Primer dan Sekunder pada Daerah Irigasi yang Luasnya 1000 Ha - 3000 Ha dan Daerah Irigasi Lintas Daerah Kabupaten/Kota,1.03.02,133138542593,Dinas Sumber Daya Air,1011
2.11.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,2.11.01,11542023880,Dinas Lingkungan Hidup,1034
3.27.02.1.01,Pengawasan Peredaran Sarana Pertanian,3.27.02,7247631660,Dinas Perkebunan,1020
