kode,nama,satuan_kerja,anggaran,satuan_kerja_id
1.02.04,"PROGRAM SEDIAAN FARMASI, ALAT KESEHATAN DAN MAKANAN MINUMAN",Dinas Kesehatan,175115164,1004
1.05.04,"PROGRAM PENCEGAHAN, PENANGGULANGAN, PENYELAMATAN KEBAKARAN DAN PENYELAMATAN NON KEBAKARAN",Badan Penanggulangan Bencana Daerah,300000000,1080
1.03.10,PROGRAM PENYELENGGARAAN JALAN,Dinas Bina Marga dan Penataan Ruang,680212699012,1010
2.19.02,PROGRAM PENGEMBANGAN KAPASITAS DAYA SAING KEPEMUDAAN,Dinas Pemuda dan Olahraga,15990271625,1021
3.27.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Perkebunan,46811917872,1020
2.11.04,PROGRAM PENGELOLAAN KEANEKARAGAMAN HAYATI (KEHATI),Dinas Lingkungan Hidup,339800000,1034
3.29.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Energi dan Sumber Daya Mineral,70100696690,1013
2.11.08,"PROGRAM PENINGKATAN PENDIDIKAN, PELATIHAN DAN PENYULUHAN LINGKUNGAN HIDUP UNTUK MASYARAKAT",Dinas Lingkungan Hidup,331760000,1034
5.04.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Badan Pengembangan Sumber Daya Manusia,48647045566,1031
6.01.02,PROGRAM PENYELENGGARAAN PENGAWASAN,Inspektorat,29360799211,1025
3.26.03,PROGRAM PEMASARAN PARIWISATA,Dinas Pariwisata dan Kebudayaan,13326104019,1009
2.17.04,PROGRAM PENILAIAN KESEHATAN KSP/USP KOPERASI,Dinas Koperasi dan Usaha Kecil,411967000,1014
2.16.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Komunikasi dan Informatika,35028859751,1022
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Biro Pemerintahan dan Otonomi Daerah,889375044,100101010000
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Biro Hukum dan Hak Asasi Manusia,2097316641,100101020000
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Biro Kesejahteraan Rakyat,4488594468,100101030000
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,"Biro Badan Usaha Milik Daerah, Investasi dan Administrasi Pembangunan",2523183413,100102020000
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Biro Perekonomian,2692903700,100102010000
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Biro Pengadaan Barang/Jasa,2490989325,100102030000
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Biro Organisasi,1303595286,100103010000
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Biro Administrasi Pimpinan,55861801984,100103020000
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Biro Umum,328273383685,100103030000
4.01.02,PROGRAM PENATAAN ORGANISASI,Biro Organisasi,3959341048,100103010000
4.01.03,PROGRAM PEMERINTAHAN DAN OTONOMI DAERAH,Biro Pemerintahan dan Otonomi Daerah,28683744683,100101010000
4.01.04,PROGRAM KESEJAHTERAAN RAKYAT,Biro Kesejahteraan Rakyat,307460863674,100101030000
4.01.05,PROGRAM FASILITASI DAN KOORDINASI HUKUM,Biro Hukum dan Hak Asasi Manusia,6226011829,100101020000
4.01.06,PROGRAM PEREKONOMIAN DAN PEMBANGUNAN,"Biro Badan Usaha Milik Daerah, Investasi dan Administrasi Pembangunan",4718221830,100102020000
4.01.06,PROGRAM PEREKONOMIAN DAN PEMBANGUNAN,Biro Perekonomian,1500000000,100102010000
4.01.07,PROGRAM KEBIJAKAN DAN PELAYANAN PENGADAAN BARANG DAN JASA,Biro Pengadaan Barang/Jasa,4052467320,100102030000
4.01.08,PROGRAM KEBIJAKAN ADMINISTRASI PEMBANGUNAN,"Biro Badan Usaha Milik Daerah, Investasi dan Administrasi Pembangunan",797888680,100102020000
